RA,ra_num,ano_base,Fase_num,IPP,INDE_final,alerta_precoce
RA-861,861,2023,,8.4375,9.31095,1
RA-869,869,2023,,8.125,9.2587,1
RA-898,898,2023,,8.125,8.4217,1
RA-900,900,2023,,8.125,8.8947,1
RA-858,858,2023,,8.125,7.248833333,1
RA-725,725,2023,,8.125,8.117366667,1
RA-907,907,2023,,8.125,8.962033333,1
RA-908,908,2023,,8.125,8.479366667,1
RA-909,909,2023,,8.125,8.486033333,1
RA-708,708,2023,,8.125,7.5105,1
RA-910,910,2023,,8.75,7.801,1
RA-928,928,2023,,8.75,9.3712,1
RA-929,929,2023,,8.75,9.1312,1
RA-930,930,2023,,8.75,8.8872,1
RA-932,932,2023,,8.125,8.3847,1
RA-933,933,2023,,8.75,8.6712,1
RA-934,934,2023,,9.375,9.1737,1
RA-935,935,2023,,9.375,7.9535,1
RA-936,936,2023,,8.125,8.5477,1
RA-937,937,2023,,9.375,9.3237,1
RA-780,780,2023,,8.75,7.7842,1
RA-970,970,2023,,9.375,8.9977,1
RA-1023,1023,2023,1,8.75,9.1342,1
RA-1024,1024,2023,1,9.21875,7.788875,1
RA-501,501,2023,1,8.541666667,8.1357,1
RA-1033,1033,2023,1,8.125,8.126033333,1
RA-1034,1034,2023,1,8.333333333,7.9642,1
RA-730,730,2023,1,9.53125,7.979325,1
RA-855,855,2023,1,8.4375,8.62995,1
RA-820,820,2023,1,9.0625,7.85605,1
RA-738,738,2023,1,8.4375,8.123283333,1
RA-1036,1036,2023,1,9.0625,6.970583333,1
RA-1037,1037,2023,1,8.59375,7.655575,1
RA-576,576,2023,1,9.21875,7.984741667,1
RA-1038,1038,2023,1,8.90625,7.736825,1
RA-1039,1039,2023,1,8.125,7.686033333,1
RA-733,733,2023,1,8.333333333,8.3342,1
RA-745,745,2023,1,8.125,7.668366667,1
RA-721,721,2023,1,8.125,8.683366667,1
RA-1046,1046,2023,1,8.541666667,6.835833333,1
RA-1047,1047,2023,1,8.125,7.848366667,1
RA-570,570,2023,1,8.125,6.781033333,1
RA-1048,1048,2023,1,8.541666667,7.811366667,1
RA-1049,1049,2023,1,8.125,7.443366667,1
RA-1050,1050,2023,1,8.125,7.764366667,1
RA-1051,1051,2023,1,8.75,8.534866667,1
RA-580,580,2023,1,8.75,8.4712,1
RA-735,735,2023,1,8.333333333,7.184,1
RA-1053,1053,2023,1,8.958333333,7.776166667,1
RA-597,597,2023,1,9.0625,8.49045,1
RA-624,624,2023,1,8.90625,8.270825,1
RA-600,600,2023,1,8.28125,7.651658333,1
RA-601,601,2023,1,9.0625,8.955783333,1
RA-778,778,2023,1,8.90625,7.926825,1
RA-628,628,2023,1,8.28125,8.370325,1
RA-766,766,2023,1,9.21875,8.008408333,1
RA-784,784,2023,1,8.125,8.171366667,1
RA-761,761,2023,1,8.333333333,8.219533333,1
RA-1057,1057,2023,1,8.125,8.4827,1
RA-827,827,2023,1,8.28125,7.419925,1
RA-612,612,2023,1,9.0625,8.410783333,1
RA-829,829,2023,1,9.21875,8.532075,1
RA-1061,1061,2023,1,8.75,8.196533333,1
RA-1062,1062,2023,1,8.59375,7.448841667,1
RA-615,615,2023,1,8.28125,7.815658333,1
RA-833,833,2023,1,8.4375,7.81295,1
RA-630,630,2023,1,8.28125,7.199991667,1
RA-777,777,2023,1,8.28125,7.468125,1
RA-764,764,2023,1,8.28125,7.682125,1
RA-1064,1064,2023,1,9.375,8.4777,1
RA-1065,1065,2023,1,8.4375,8.03395,1
RA-781,781,2023,1,8.4375,8.209283333,1
RA-1066,1066,2023,1,8.4375,7.262616667,1
RA-834,834,2023,1,9.6875,8.662616667,1
RA-722,722,2023,1,8.125,7.3387,1
RA-1068,1068,2023,1,9.166666667,8.472533333,1
RA-1069,1069,2023,1,8.125,7.590033333,1
RA-814,814,2023,1,8.333333333,8.367866667,1
RA-652,652,2023,1,8.125,7.871033333,1
RA-816,816,2023,1,9.583333333,8.5572,1
RA-819,819,2023,1,8.541666667,7.944833333,1
RA-813,813,2023,1,8.125,7.5867,1
RA-636,636,2023,1,8.333333333,6.836666667,1
RA-799,799,2023,1,8.333333333,8.061533333,1
RA-637,637,2023,1,8.333333333,8.109533333,1
RA-638,638,2023,1,8.333333333,7.754866667,1
RA-802,802,2023,1,8.333333333,8.126866667,1
RA-817,817,2023,1,8.125,7.8597,1
RA-818,818,2023,1,8.125,7.997366667,1
RA-645,645,2023,1,8.125,7.613033333,1
RA-479,479,2023,2,9.791666667,8.988866667,1
RA-493,493,2023,2,8.541666667,7.934366667,1
RA-1072,1072,2023,2,8.125,8.0152,1
RA-536,536,2023,2,8.333333333,7.759533333,1
RA-578,578,2023,2,9.791666667,9.013866667,1
RA-513,513,2023,2,8.541666667,8.297866667,1
RA-487,487,2023,2,9.166666667,8.988866667,1
RA-1076,1076,2023,2,8.333333333,7.901033333,1
RA-490,490,2023,2,8.541666667,7.429466667,1
RA-1077,1077,2023,2,8.75,7.2115,1
RA-508,508,2023,2,8.333333333,7.671633333,1
RA-495,495,2023,2,8.541666667,7.417366667,1
RA-340,340,2023,2,9.166666667,7.059666667,1
RA-1081,1081,2023,2,8.958333333,7.666033333,1
RA-1082,1082,2023,2,8.75,7.1617,1
RA-1083,1083,2023,2,8.75,8.2345,1
RA-531,531,2023,2,8.75,8.3252,1
RA-1084,1084,2023,2,8.75,7.9948,1
RA-516,516,2023,2,8.75,8.6807,1
RA-348,348,2023,2,8.541666667,6.817866667,1
RA-1086,1086,2023,2,8.75,7.2382,1
RA-1087,1087,2023,2,8.75,7.2067,1
RA-509,509,2023,2,8.958333333,7.606033333,1
RA-499,499,2023,2,8.75,7.8883,1
RA-500,500,2023,2,8.958333333,8.427533333,1
RA-1088,1088,2023,2,8.75,7.4717,1
RA-1089,1089,2023,2,8.75,7.9947,1
RA-1090,1090,2023,2,8.958333333,7.844033333,1
RA-503,503,2023,2,8.75,8.4682,1
RA-1091,1091,2023,2,8.958333333,8.032533333,1
RA-1092,1092,2023,2,8.75,7.41,1
RA-1093,1093,2023,2,8.958333333,8.197533333,1
RA-1094,1094,2023,2,8.75,8.1779,1
RA-324,324,2023,2,8.125,7.6354,1
RA-350,350,2023,2,8.958333333,7.972033333,1
RA-518,518,2023,2,8.125,7.5762,1
RA-524,524,2023,2,8.333333333,7.331133333,1
RA-1096,1096,2023,2,8.958333333,8.615533333,1
RA-526,526,2023,2,8.75,8.0957,1
RA-528,528,2023,2,8.75,7.6892,1
RA-1097,1097,2023,2,8.125,6.9547,1
RA-1098,1098,2023,2,8.125,7.2787,1
RA-506,506,2023,2,8.958333333,7.750033333,1
RA-1099,1099,2023,2,8.333333333,7.113533333,1
RA-1100,1100,2023,2,8.541666667,8.261033333,1
RA-1103,1103,2023,2,8.333333333,7.574866667,1
RA-539,539,2023,2,9.166666667,7.796866667,1
RA-540,540,2023,2,8.958333333,8.216033333,1
RA-375,375,2023,2,8.541666667,7.070833333,1
RA-535,535,2023,2,8.125,8.0027,1
RA-548,548,2023,2,8.333333333,7.4322,1
RA-365,365,2023,2,8.958333333,8.6587,1
RA-559,559,2023,2,8.958333333,7.947366667,1
RA-1104,1104,2023,2,8.541666667,7.265533333,1
RA-563,563,2023,2,8.75,7.684133333,1
RA-573,573,2023,2,8.541666667,7.774366667,1
RA-551,551,2023,2,8.541666667,7.075033333,1
RA-566,566,2023,2,8.958333333,7.7227,1
RA-373,373,2023,2,8.75,6.805,1
RA-557,557,2023,2,9.375,8.7717,1
RA-1106,1106,2023,2,8.333333333,7.1642,1
RA-1107,1107,2023,2,8.958333333,7.9327,1
RA-542,542,2023,2,8.75,7.816533333,1
RA-543,543,2023,2,8.75,7.971833333,1
RA-556,556,2023,2,9.166666667,7.7482,1
RA-1110,1110,2023,2,8.541666667,7.248566667,1
RA-568,568,2023,2,8.125,6.9647,1
RA-562,562,2023,2,8.541666667,6.824833333,1
RA-1112,1112,2023,2,8.333333333,7.088866667,1
RA-525,525,2023,2,8.958333333,7.911366667,1
RA-357,357,2023,2,8.75,8.2832,1
RA-583,583,2023,2,8.333333333,7.838866667,1
RA-584,584,2023,2,8.333333333,7.697533333,1
RA-586,586,2023,2,8.333333333,8.4242,1
RA-599,599,2023,2,8.333333333,8.532866667,1
RA-1114,1114,2023,2,8.125,7.5667,1
RA-604,604,2023,2,8.125,8.548033333,1
RA-610,610,2023,2,8.541666667,8.2857,1
RA-1120,1120,2023,2,8.958333333,9.103366667,1
RA-1121,1121,2023,2,8.75,8.049,1
RA-408,408,2023,2,8.333333333,7.242133333,1
RA-614,614,2023,2,8.333333333,8.2282,1
RA-1127,1127,2023,2,8.125,8.3167,1
RA-1131,1131,2023,2,8.75,8.316133333,1
RA-1133,1133,2023,2,8.541666667,8.600033333,1
RA-646,646,2023,2,8.958333333,8.3547,1
RA-451,451,2023,2,9.375,8.386033333,1
RA-1135,1135,2023,2,8.125,7.453833333,1
RA-649,649,2023,2,8.75,7.579533333,1
RA-651,651,2023,2,8.75,7.332,1
RA-653,653,2023,2,9.166666667,7.385666667,1
RA-456,456,2023,2,9.583333333,7.518,1
RA-655,655,2023,2,9.166666667,8.3198,1
RA-656,656,2023,2,8.541666667,6.780833333,1
RA-657,657,2023,2,8.75,8.3532,1
RA-644,644,2023,2,8.541666667,6.897033333,1
RA-461,461,2023,2,8.541666667,7.2379,1
RA-632,632,2023,2,8.333333333,7.8768,1
RA-1137,1137,2023,2,9.375,8.743366667,1
RA-1138,1138,2023,2,9.166666667,8.3472,1
RA-1139,1139,2023,2,8.125,7.6647,1
RA-445,445,2023,2,8.541666667,7.9087,1
RA-639,639,2023,2,8.125,7.5853,1
RA-1142,1142,2023,2,8.541666667,9.175033333,1
RA-642,642,2023,2,8.75,8.416866667,1
RA-588,588,2023,2,8.958333333,8.3527,1
RA-602,602,2023,2,8.75,8.5592,1
RA-666,666,2023,2,8.541666667,8.720366667,1
RA-670,670,2023,2,8.958333333,8.6067,1
RA-326,326,2023,3,9.0625,8.65075,1
RA-179,179,2023,3,8.59375,8.437641667,1
RA-332,332,2023,3,8.28125,8.002591667,1
RA-1144,1144,2023,3,8.28125,7.410625,1
RA-1145,1145,2023,3,8.59375,7.484375,1
RA-227,227,2023,3,8.28125,7.722125,1
RA-247,247,2023,3,8.28125,7.221958333,1
RA-338,338,2023,3,8.59375,8.287441667,1
RA-1161,1161,2023,3,8.28125,7.317791667,1
RA-416,416,2023,3,8.28125,8.144425,1
RA-417,417,2023,3,8.28125,8.257658333,1
RA-418,418,2023,3,8.125,8.1686,1
RA-419,419,2023,3,8.125,7.7261,1
RA-457,457,2023,3,8.125,8.256833333,1
RA-1171,1171,2023,3,8.75,7.856033333,1
RA-176,176,2023,4,8.125,8.316833333,1
RA-193,193,2023,4,8.125,7.718566667,1
RA-1172,1172,2023,4,8.59375,7.030108333,1
RA-180,180,2023,4,8.4375,8.283216667,1
RA-195,195,2023,4,8.4375,7.60205,1
RA-196,196,2023,4,8.28125,7.560991667,1
RA-229,229,2023,4,8.28125,8.207591667,1
RA-189,189,2023,4,8.28125,7.727325,1
RA-191,191,2023,4,8.125,7.263666667,1
RA-217,217,2023,4,8.4375,6.96965,1
RA-1174,1174,2023,4,8.90625,7.333591667,1
RA-184,184,2023,4,8.59375,8.430241667,1
RA-204,204,2023,4,8.28125,7.557558333,1
RA-1176,1176,2023,4,9.6875,8.881483333,1
RA-1177,1177,2023,4,8.90625,8.345491667,1
RA-237,237,2023,4,8.125,7.436566667,1
RA-1184,1184,2023,4,8.125,7.381566667,1
RA-241,241,2023,4,8.75,7.016,1
RA-242,242,2023,4,8.59375,8.221841667,1
RA-244,244,2023,4,8.125,7.044333333,1
RA-245,245,2023,4,8.75,7.171166667,1
RA-246,246,2023,4,8.125,8.256766667,1
RA-295,295,2023,4,9.0625,7.641016667,1
RA-269,269,2023,4,8.59375,8.116041667,1
RA-270,270,2023,4,8.75,7.982633333,1
RA-316,316,2023,4,8.59375,8.436908333,1
RA-320,320,2023,4,8.59375,8.393508333,1
RA-277,277,2023,4,8.125,7.7284,1
RA-278,278,2023,4,8.75,7.1935,1
RA-291,291,2023,4,8.90625,8.493058333,1
RA-279,279,2023,4,8.75,9.006266667,1
RA-280,280,2023,4,8.28125,8.189225,1
RA-319,319,2023,4,8.59375,8.367208333,1
RA-321,321,2023,4,8.125,7.695233333,1
RA-159,159,2023,4,8.125,6.805033333,1
RA-103,103,2023,5,8.125,8.0239,1
RA-125,125,2023,5,8.125,6.989633333,1
RA-110,110,2023,5,8.75,8.0879,1
RA-143,143,2023,5,8.28125,7.794358333,1
RA-52,52,2023,5,8.125,7.9642,1
RA-127,127,2023,5,8.4375,7.91935,1
RA-146,146,2023,5,8.4375,7.584483333,1
RA-151,151,2023,5,8.59375,6.892541667,1
RA-1201,1201,2023,5,8.59375,8.378008333,1
RA-90,90,2023,5,8.59375,8.699408333,1
RA-94,94,2023,5,8.75,7.289333333,1
RA-173,173,2023,5,8.125,7.757466667,1
RA-166,166,2023,5,8.4375,8.105583333,1
RA-153,153,2023,5,8.125,7.289966667,1
RA-157,157,2023,5,8.59375,7.879008333,1
RA-158,158,2023,5,8.28125,7.297425,1
RA-165,165,2023,5,8.125,7.583433333,1
RA-45,45,2023,6,8.28125,8.303591667,1
RA-56,56,2023,6,8.125,8.284333333,1
RA-58,58,2023,6,8.4375,7.70625,1
RA-59,59,2023,6,8.28125,7.692291667,1
RA-63,63,2023,6,8.75,8.0641,1
RA-109,109,2023,6,8.75,8.3184,1
RA-87,87,2023,6,8.125,8.6625,1
RA-27,27,2023,7,8.625,7.921266667,1
RA-62,62,2023,7,8.25,7.610333333,1
RA-38,38,2023,7,8.75,8.835333333,1
RA-39,39,2023,7,8.75,8.710333333,1
RA-861,861,2024,,8.125,8.959700000000002,1
RA-1012,1012,2024,,8.125,8.057128571400002,1
RA-1287,1287,2024,,8.125,7.619650310500001,1
RA-912,912,2024,,8.125,7.697103508700001,1
RA-1322,1322,2024,,8.4375,8.47795,1
RA-1325,1325,2024,,8.4375,8.9824954545,1
RA-1330,1330,2024,,8.4375,8.944616666700002,1
RA-1331,1331,2024,,8.4375,7.8522833333,1
RA-944,944,2024,,8.75,7.8262,1
RA-1332,1332,2024,,9.375,8.1040529412,1
RA-1333,1333,2024,,9.375,8.213199999999999,1
RA-934,934,2024,,9.375,8.338700000000001,1
RA-1334,1334,2024,,9.375,8.350200000000001,1
RA-941,941,2024,,8.125,7.746700000000001,1
RA-756,756,2024,,8.125,7.361700000000001,1
RA-1335,1335,2024,,9.375,8.3217,1
RA-938,938,2024,,8.125,8.0056026915,1
RA-1344,1344,2024,,8.75,9.3612,1
RA-749,749,2024,,8.4375,8.3373184211,1
RA-929,929,2024,,8.125,7.7244368421,1
RA-1348,1348,2024,,8.75,7.9604662539,1
RA-935,935,2024,,8.75,8.3422,1
RA-1349,1349,2024,,8.4375,7.855727777800001,1
