RA,ra_num,ano_base,Fase_num,IPP,INDE_final,alerta_precoce
RA-937,937,2024,,8.75,8.3792,1
RA-1350,1350,2024,,8.4375,8.335450000000002,1
RA-1351,1351,2024,,8.4375,8.1861038462,1
RA-1352,1352,2024,,8.4375,8.289950000000001,1
RA-1354,1354,2024,,8.125,7.353427272700001,1
RA-979,979,2024,,8.125,8.0352454545,1
RA-1355,1355,2024,,8.125,7.202245454500001,1
RA-972,972,2024,,8.75,7.537472727300001,1
RA-1356,1356,2024,,8.125,7.8695888889,1
RA-966,966,2024,,8.125,7.9943363636,1
RA-1357,1357,2024,,8.125,7.1807,1
RA-969,969,2024,,8.125,7.453427272700001,1
RA-1381,1381,2024,,8.75,9.038200000000002,1
RA-990,990,2024,1,8.4375,7.812283333400001,1
RA-1394,1394,2024,1,8.125,7.503255555500002,1
RA-1018,1018,2024,1,8.4375,7.7054045454,1
RA-1396,1396,2024,1,8.125,7.8477,1
RA-1025,1025,2024,1,8.4375,7.897071212,1
RA-1020,1020,2024,1,8.4375,8.9544954545,1
RA-1021,1021,2024,1,8.4375,8.0985863636,1
RA-1397,1397,2024,1,8.125,7.8280333334000005,1
RA-1398,1398,2024,1,8.125,7.989700527000001,1
RA-899,899,2024,1,8.125,8.425024769300002,1
RA-893,893,2024,1,8.125,8.8910333334,1
RA-1024,1024,2024,1,8.4375,8.6516166666,1
RA-900,900,2024,1,8.125,8.802003030200002,1
RA-892,892,2024,1,8.125,8.697700000000001,1
RA-894,894,2024,1,8.4375,8.67895,1
RA-896,896,2024,1,8.125,8.2852454545,1
RA-1035,1035,2024,1,8.4375,7.833495454500001,1
RA-1402,1402,2024,1,8.4375,8.588040909100002,1
RA-1403,1403,2024,1,8.4375,8.257421861500001,1
RA-1404,1404,2024,1,8.4375,8.3971318182,1
RA-923,923,2024,1,8.125,7.688609090900001,1
RA-1405,1405,2024,1,8.125,8.4749727273,1
RA-1406,1406,2024,1,8.4375,7.8186772727000005,1
RA-1408,1408,2024,1,8.4375,7.626768181800001,1
RA-1409,1409,2024,1,8.4375,7.863131818100001,1
RA-1410,1410,2024,1,8.75,7.5319272727,1
RA-874,874,2024,1,8.75,7.0235939394,1
RA-1411,1411,2024,1,8.4375,6.886950000000001,1
RA-1412,1412,2024,1,8.75,9.204671861500001,1
RA-690,690,2024,1,8.4375,7.3853681818000005,1
RA-1413,1413,2024,1,8.4375,7.747564718600001,1
RA-1414,1414,2024,1,8.75,8.840007359300001,1
RA-853,853,2024,1,8.333333333,7.986866666600001,1
RA-859,859,2024,1,8.958333333,8.5817909091,1
RA-860,860,2024,1,8.75,8.7738666667,1
RA-727,727,2024,1,8.125,8.447003030300001,1
RA-840,840,2024,1,8.333333333,8.5912909091,1
RA-926,926,2024,1,8.333333333,7.7830787878,1
RA-927,927,2024,1,8.333333333,7.9921696969000005,1
RA-1419,1419,2024,1,8.958333333,8.7536999999,1
RA-740,740,2024,1,8.541666667,8.1611005269,1
RA-1422,1422,2024,1,8.125,7.0132,1
RA-733,733,2024,1,8.90625,8.808825,1
RA-1427,1427,2024,1,8.90625,8.425325,1
RA-1052,1052,2024,1,8.59375,7.744032575800001,1
RA-928,928,2024,1,8.541666667,8.8733666667,1
RA-748,748,2024,1,8.75,8.2272,1
RA-876,876,2024,1,8.333333333,7.612057142800001,1
RA-753,753,2024,1,8.333333333,8.2450571429,1
RA-601,601,2024,1,8.75,8.5107,1
RA-1067,1067,2024,1,8.541666667,7.840033333300001,1
RA-1058,1058,2024,1,8.125,7.703347619,1
RA-757,757,2024,1,8.125,7.938842857200001,1
RA-794,794,2024,1,8.125,7.145652380900001,1
RA-789,789,2024,1,9.166666667,8.0443904763,1
RA-1056,1056,2024,1,9.166666667,8.192009523800001,1
RA-1428,1428,2024,1,9.166666667,8.006108496800001,1
RA-830,830,2024,1,8.333333333,7.1373428571,1
RA-780,780,2024,1,8.958333333,7.7430333333,1
RA-1057,1057,2024,1,8.75,8.2352,1
RA-1062,1062,2024,1,8.75,7.6147238096,1
RA-1429,1429,2024,1,8.958333333,8.041811111100001,1
RA-1430,1430,2024,1,8.958333333,7.864033333300001,1
RA-767,767,2024,1,8.541666667,8.131890476200002,1
RA-943,943,2024,1,8.958333333,8.965033333300001,1
RA-795,795,2024,1,8.958333333,8.441414285700002,1
RA-1432,1432,2024,1,9.21875,8.774075000000002,1
RA-1433,1433,2024,1,8.28125,8.1939895962,1
RA-1434,1434,2024,1,9.53125,8.2775982919,1
RA-958,958,2024,1,9.53125,9.531325,1
RA-755,755,2024,1,9.0625,8.925450000000001,1
RA-1436,1436,2024,1,8.28125,7.589914648100001,1
RA-1437,1437,2024,1,8.28125,7.982890217400001,1
RA-1438,1438,2024,1,8.90625,8.176825000000001,1
RA-1439,1439,2024,1,9.375,8.507700000000002,1
RA-1440,1440,2024,1,8.75,7.469102691500001,1
RA-1441,1441,2024,1,9.375,8.961646169800002,1
RA-952,952,2024,1,8.333333333,8.853624242300002,1
RA-939,939,2024,1,8.125,7.051379841899999,1
RA-953,953,2024,1,8.125,7.961241502000001,1
RA-954,954,2024,1,8.125,8.2823798419,1
RA-1000,1000,2024,1,8.125,8.364790909100002,1
RA-768,768,2024,1,8.125,7.0345379447,1
RA-988,988,2024,1,8.333333333,8.1765333333,1
RA-808,808,2024,1,8.125,8.7897,1
RA-963,963,2024,1,8.125,8.375080952400001,1
RA-984,984,2024,1,8.125,8.475080952400003,1
RA-968,968,2024,1,8.4375,7.8403547619000005,1
RA-688,688,2024,2,8.333333333,8.986533333300002,1
RA-1023,1023,2024,2,8.958333333,9.498580952300001,1
RA-686,686,2024,2,8.4375,8.040259523700001,1
RA-1462,1462,2024,2,8.125,7.6243666666,1
RA-1463,1463,2024,2,9.0625,9.074561111000001,1
RA-1464,1464,2024,2,9.0625,7.288424359,1
RA-687,687,2024,2,8.75,8.2739844611,1
RA-1465,1465,2024,2,8.75,7.3344666666,1
RA-522,522,2024,2,8.4375,8.6777119048,1
RA-501,501,2024,2,8.4375,8.2779474937,1
RA-1466,1466,2024,2,8.75,8.213723809600001,1
RA-502,502,2024,2,9.0625,8.5023309524,1
RA-1467,1467,2024,2,8.75,8.836711278200001,1
RA-1468,1468,2024,2,8.4375,8.1281028822,1
RA-527,527,2024,2,8.125,8.1403666666,1
RA-1469,1469,2024,2,8.75,7.459755555500001,1
RA-721,721,2024,2,8.75,8.8986026915,1
RA-730,730,2024,2,9.166666667,8.469255555700002,1
RA-820,820,2024,2,8.333333333,7.426572549100001,1
RA-1069,1069,2024,2,8.125,7.678917391300001,1
RA-1476,1476,2024,2,8.4375,8.80795,1
RA-829,829,2024,2,8.90625,9.171825000000002,1
RA-1492,1492,2024,2,8.75,8.479020512900002,1
RA-784,784,2024,2,9.375,8.8857454545,1
RA-1059,1059,2024,2,9.0625,8.678450000000002,1
RA-612,612,2024,2,9.6875,9.134040909100001,1
RA-761,761,2024,2,8.75,8.174593939300001,1
RA-1061,1061,2024,2,8.4375,8.76595,1
RA-1495,1495,2024,2,8.75,8.4845030302,1
RA-594,594,2024,2,8.125,6.890966666600001,1
RA-1498,1498,2024,2,8.125,7.147881818200001,1
RA-1499,1499,2024,2,8.125,7.914800000000001,1
RA-788,788,2024,2,8.4375,7.9221068268,1
RA-1500,1500,2024,2,8.4375,7.360450000100002,1
RA-777,777,2024,2,8.125,7.563515408100001,1
RA-664,664,2024,2,8.125,7.5017244089,1
RA-1501,1501,2024,2,8.4375,8.04495,1
RA-764,764,2024,2,8.4375,7.838370289900001,1
RA-1064,1064,2024,2,8.75,8.9802350877,1
RA-1065,1065,2024,2,9.0625,8.8634934783,1
RA-781,781,2024,2,8.4375,8.496283333400001,1
RA-1140,1140,2024,2,8.125,7.3473880383,1
RA-1503,1503,2024,2,8.958333333,6.991699999900001,1
RA-637,637,2024,2,8.333333333,7.6853212122,1
RA-816,816,2024,2,9.166666667,8.929745454599999,1
RA-1068,1068,2024,2,8.541666667,9.0150030303,1
RA-802,802,2024,2,8.333333333,7.8317974024999994,1
RA-1510,1510,2024,2,9.583333333,9.464745454400001,1
RA-785,785,2024,2,8.75,9.1548666666,1
RA-1511,1511,2024,2,8.4375,8.9217077641,1
RA-833,833,2024,2,8.125,8.5184577641,1
RA-819,819,2024,2,8.4375,8.652552484400001,1
RA-487,487,2024,3,9.0625,9.4171373016,1
RA-1096,1096,2024,3,9.0625,9.189883333333334,1
RA-513,513,2024,3,9.0625,8.728632539666668,1
RA-1523,1523,2024,3,8.90625,8.67371279,1
RA-479,479,2024,3,9.375,8.901966666666668,1
RA-325,325,2024,3,8.333333333,8.385133333233336,1
RA-1525,1525,2024,3,8.541666667,7.778263492033334,1
RA-524,524,2024,3,8.333333333,7.026322556366667,1
RA-578,578,2024,3,9.583333333,9.066199999966669,1
RA-516,516,2024,3,8.541666667,8.384033333366668,1
RA-1526,1526,2024,3,8.125,7.9798,1
RA-509,509,2024,3,8.28125,6.918152272733334,1
RA-500,500,2024,3,8.59375,8.077708333333334,1
RA-1093,1093,2024,3,8.90625,8.5079027778,1
RA-1094,1094,2024,3,8.4375,8.0164785714,1
RA-543,543,2024,3,8.90625,8.0467871118,1
RA-539,539,2024,3,8.75,8.465533333333335,1
RA-557,557,2024,3,10.0,9.350986466133334,1
RA-365,365,2024,3,8.4375,8.526983333333334,1
RA-563,563,2024,3,8.125,8.595447619066668,1
RA-1533,1533,2024,3,8.5,9.089828985533336,1
RA-1537,1537,2024,3,8.125,8.176263231333333,1
RA-651,651,2024,3,8.541666667,8.689300000100001,1
RA-403,403,2024,3,8.541666667,8.008488888833334,1
RA-1117,1117,2024,3,8.125,7.601562962866668,1
RA-602,602,2024,3,8.28125,8.647409313733334,1
RA-1541,1541,2024,3,8.25,8.337,1
RA-1114,1114,2024,3,8.375,7.437466666666667,1
RA-1127,1127,2024,3,8.125,8.180966666666668,1
RA-632,632,2024,3,8.28125,7.515491249000001,1
RA-1137,1137,2024,3,8.28125,7.1837526524666675,1
RA-646,646,2024,3,8.28125,7.715491666666668,1
RA-1142,1142,2024,3,8.125,8.390566666666668,1
RA-1553,1553,2024,3,8.333333333,7.641184313700001,1
RA-649,649,2024,3,8.333333333,6.985329691766667,1
RA-653,653,2024,3,8.333333333,8.103217647033333,1
RA-456,456,2024,3,9.166666667,8.331124561366668,1
RA-655,655,2024,3,8.125,8.238600000066668,1
RA-657,657,2024,3,8.125,8.207433333400001,1
RA-1555,1555,2024,3,8.125,7.4827333334,1
RA-586,586,2024,3,8.75,8.702387301666668,1
RA-588,588,2024,3,8.75,8.676133333333334,1
RA-455,455,2024,3,8.333333333,7.098988888900001,1
RA-1133,1133,2024,3,8.125,8.238553968266668,1
RA-670,670,2024,3,8.958333333,8.8602539683,1
RA-1149,1149,2024,4,8.625,8.1371,1
RA-1558,1558,2024,4,8.5,7.643772047733333,1
RA-326,326,2024,4,8.875,8.832389092333335,1
RA-179,179,2024,4,8.75,8.932712280733334,1
RA-332,332,2024,4,8.625,8.421271701,1
RA-1560,1560,2024,4,8.5,8.4721031746,1
RA-1153,1153,2024,4,8.75,8.268876190466667,1
RA-183,183,2024,4,8.25,8.266902371533334,1
RA-199,199,2024,4,8.125,7.419398245666667,1
RA-1151,1151,2024,4,8.125,8.749111111066668,1
RA-1081,1081,2024,4,9.166666667,8.5452952381,1
RA-187,187,2024,4,8.4375,8.568424074066666,1
RA-1579,1579,2024,4,8.5,7.894385710733333,1
RA-250,250,2024,4,8.958333333,9.049892592566668,1
RA-1583,1583,2024,4,9.166666667,7.8197579711000005,1
RA-417,417,2024,4,8.4375,8.533628557533333,1
RA-1163,1163,2024,4,8.125,8.6794789474,1
RA-416,416,2024,4,8.541666667,8.700808577033333,1
RA-418,418,2024,4,8.229166667,9.125183333366667,1
RA-425,425,2024,4,8.229166667,9.016616666700001,1
RA-1590,1590,2024,4,10.0,8.1907875086,1
RA-1592,1592,2024,4,8.125,6.812545479666667,1
RA-457,457,2024,4,9.6875,8.5892756038,1
RA-421,421,2024,4,9.0625,8.488232329,1
RA-1596,1596,2024,4,8.229166667,7.261016666766667,1
RA-1171,1171,2024,4,8.645833333,7.6236817459,1
RA-180,180,2024,5,8.125,8.801463636333335,1
RA-1598,1598,2024,5,8.375,8.4656285714,1
RA-186,186,2024,5,8.125,8.325963636333334,1
RA-111,111,2024,5,8.125,8.667693939400001,1
RA-176,176,2024,5,8.59375,8.828632575733334,1
RA-1604,1604,2024,5,8.125,8.0118555556,1
RA-193,193,2024,5,8.4375,8.465046969666668,1
RA-196,196,2024,5,8.75,8.823550937933334,1
RA-229,229,2024,5,8.28125,8.852545634933334,1
RA-1176,1176,2024,5,8.59375,8.914816269866666,1
RA-1173,1173,2024,5,8.125,8.220132915666667,1
RA-1188,1188,2024,5,8.125,7.801633333400001,1
RA-244,244,2024,5,8.125,8.7225,1
RA-274,274,2024,5,8.125,8.651029629666667,1
RA-157,157,2024,5,8.125,8.950566666733334,1
RA-321,321,2024,5,8.125,8.125807932933334,1
RA-278,278,2024,5,8.125,8.907314492800001,1
RA-279,279,2024,5,8.333333333,9.113133333366667,1
RA-1621,1621,2024,5,8.333333333,8.107033333366667,1
RA-280,280,2024,5,8.333333333,8.822714492700001,1
RA-1201,1201,2024,5,8.333333333,8.376195238033333,1
RA-1622,1622,2024,5,8.333333333,8.429066666633334,1
RA-132,132,2024,6,8.59375,8.4746321428,1
RA-1626,1626,2024,6,8.28125,8.541085606066668,1
RA-167,167,2024,6,8.375,8.033470175466666,1
RA-1203,1203,2024,6,8.375,8.9495245614,1
RA-94,94,2024,6,8.375,8.637033333333335,1
RA-1630,1630,2024,6,8.25,8.583133333333334,1
RA-1631,1631,2024,6,8.5,8.186433333333333,1
RA-80,80,2024,7,8.75,8.131659175733333,1
RA-40,40,2024,7,8.125,7.098051462066667,1
RA-1214,1214,2024,7,8.28125,8.5902971362,1
RA-45,45,2024,7,8.75,8.743476190400001,1
RA-56,56,2024,7,8.4375,9.077020175400001,1
RA-57,57,2024,7,8.59375,7.4193804301999995,1
RA-58,58,2024,7,9.0625,8.7713289474,1
RA-78,78,2024,7,8.4375,8.1780308688,1
RA-87,87,2024,7,9.375,9.437924561333332,1
RA-64,64,2024,7,8.4375,8.743607059266667,1
RA-48,48,2024,7,8.59375,8.402390371800001,1
